"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
3x3x3;00:21.193;B2 L D' B2 D L D2 B' D2 B U' D' R2 F2 U' F2 R2 B2;2019-07-29 17:54;no;no;1564415494480;
3x3x3;00:25.178;F L2 F U2 F R2 U2 F R2 F L D B U F' U L' U' R' U';2019-07-29 17:53;no;no;1564415494480;
3x3x3;00:20.301;F D2 L2 F B L D B R U D' F' U2 R2 B2 U2 D2 B L2 B2;2019-07-29 17:52;no;no;1564415494480;
3x3x3;00:19.657;L B D' L2 D' B2 R2 F B' D' L' F2 B2 L' B2 D2 B2 D2 R2;2019-07-11 16:11;no;no;1562841110006;
3x3x3;00:22.193;R2 L' U' R' D L' F' B' U' F B2 U2 F2 L2 B2 D' B2 D' L2 U;2019-07-11 16:09;no;no;1562841110006;
3x3x3;00:21.443;B2 L2 F2 D2 B D2 R2 F D L U2 L2 F D B L' D2 U2 B;2019-07-11 16:08;no;no;1562841110006;
3x3x3;00:17.934;F2 L' B2 U2 L' F2 D2 L' B L' F2 L2 R2 F2 R D' U L' B';2019-07-11 16:06;no;no;1562841110006;
3x3x3;00:21.687;F2 R2 U2 B' D2 R2 U B U' F B2 L D2 F2 L' B2 R D2 R';2019-07-11 16:06;no;no;1562841110006;
3x3x3;00:19.875;R2 L F2 U F U L2 D R2 F' D R2 F2 D2 B2 U D R2;2019-07-11 16:04;no;no;1562841110006;
3x3x3;00:23.063;D L2 U' L2 U R2 D' R2 U' R2 U' L' B' R' D L' R2 F' L' B' U;2019-07-11 16:03;no;no;1562841110006;
3x3x3;00:20.265;B2 L2 F D2 F L2 R2 F' R' F2 R' D R U L' B F' D' L';2019-07-11 16:02;no;no;1562841110006;
3x3x3;00:19.940;B2 R2 U' R2 B2 D' F2 U2 L' B' L2 F' L D' U' L' R' U2 B2 U;2019-07-11 16:01;no;no;1562841110006;
3x3x3;00:20.656;R' F2 U2 L D2 B2 L' D2 B2 U' B2 F U L2 R' U2 L B2 U' R';2019-07-11 16:00;no;no;1562841110006;
3x3x3;00:18.533;B2 F2 R2 F2 R' B2 F2 D2 B' U F' D' L2 D2 U B' R U R';2019-07-11 15:59;no;no;1562841110006;
3x3x3;00:22.520;F2 U2 F2 R F2 L R B2 F L' B' U' R2 D2 F2 L U L B2;2019-07-11 15:59;no;no;1562841110006;
3x3x3;00:22.839;L2 D' F2 D' L2 F2 L2 U B D' F' L F D2 R2 B R' D' U R2;2019-07-11 13:47;no;no;1562841110006;
3x3x3;00:16.660;F2 B U2 B' U R2 F L' F' B U2 D2 L2 B2 D' F2 D' R2 B2;2019-07-11 13:47;no;no;1562841110006;
3x3x3;00:23.667;R U2 F2 U2 F2 L2 U2 R' B' D' L2 B2 F' L2 D F R' B;2019-07-11 13:44;no;no;1562841110006;
3x3x3;00:20.372;D' F' R' L U D2 B' L2 F U' B2 L U2 L' U2 B2 L' U2 L D2 F2;2019-07-11 13:42;no;no;1562841110006;
3x3x3;00:21.834;U2 L2 F' L2 D2 F' L2 D2 B' R' D' B' U B' R2 F' L' B L B;2019-07-11 13:41;no;no;1562841110006;
3x3x3;00:20.622;F2 L2 U' L2 D L2 B2 F U2 F' D' B2 D' B' R' B' L B2;2019-07-11 13:40;no;no;1562841110006;
3x3x3;00:20.245;D' B2 D B2 L2 B2 L2 U2 R B2 D L2 D2 B U2 F' U' L' F;2019-07-11 13:39;no;no;1562841110006;
3x3x3;00:17.807;B2 U2 D' F2 B' D2 R L2 U' D R F2 B2 D' F2 D F2 B2;2019-07-10 18:36;no;no;1562772449481;
3x3x3;00:21.143;F L2 F2 R2 D2 F D2 F' D R2 F' R' F' L2 F2 D U' R' B2;2019-07-10 18:34;no;no;1562772449481;
3x3x3;00:19.485;U2 R B' D' F B' U L2 F' R' F2 B L2 F L2 U2 F' R2 F2;2019-07-10 18:31;no;no;1562772449481;
3x3x3;00:21.654;D2 B' U F U' R L' F' R2 B R2 U' R2 D' B2 U B2 R2 D' F2;2019-07-10 18:30;no;no;1562772449481;
3x3x3;00:21.596;R B' D' L2 U2 R2 F B D B' U2 D2 L' U2 F2 R B2 R' F2 B2;2019-07-10 18:29;no;no;1562772449481;
3x3x3;00:22.500;F2 L2 B2 D2 R2 D2 B' R D R' B2 F U2 L' D' B' U2 B2;2019-07-10 18:28;no;no;1562772449481;
3x3x3;00:20.165;F2 R' F2 R2 D2 L' U2 B D' B2 F' U' B2 D' F2 U B2 L;2019-07-10 18:28;no;no;1562772449481;
3x3x3;00:20.592;B' U' R' B U2 B' U D R' D R2 U2 R' D2 L' F2 R2 F2 R2 D2;2019-07-10 18:27;no;no;1562772449481;
3x3x3;00:25.345;F2 R' U' D2 F2 L2 U' B' R B2 D B2 U R2 D B2 D' R2 D';2019-07-10 18:24;no;no;1562772449481;
3x3x3;00:20.323;R2 F' L2 B' L2 R2 B2 F' D' L2 D L U F D' B' D' F U2;2019-07-10 18:23;no;no;1562772449481;
3x3x3;00:21.373;D F2 D R2 U2 L2 F2 D2 B2 U2 B' U' R' F' D2 B D R U' R;2019-07-10 18:22;no;no;1562772449481;
3x3x3;00:17.628;R U2 L U' R2 F2 R2 U2 F' R F2 D F2 U2 F2 R2 U F2 U2 L2;2019-07-10 18:21;no;no;1562772449481;
3x3x3;00:21.848;F2 U B L' D2 F2 L D2 F2 D' R2 D2 B' U2 R2 L2 F' L2 F' B2;2019-07-10 18:20;no;no;1562772449481;
3x3x3;00:21.298;D' R2 U' L2 D U' B F L F' D' R2 B' D F R' D F2;2019-07-10 18:19;no;no;1562772449481;
3x3x3;00:21.421;F' L2 B' D2 R' L F L F' R2 B L2 D' L2 D L2 F2 R2 U';2019-07-10 18:16;no;no;1562772449481;
3x3x3;00:16.607;D2 F2 D2 F U R2 L' F' U2 F R2 F2 U2 F2 D R2 B2 R2 U';2019-07-10 18:15;no;no;1562772449481;
3x3x3;00:22.120;F D2 L2 R2 B' F' L2 B2 R B R U F2 D' B' D2 B2 U2 B;2019-07-10 18:14;no;no;1562772449481;
3x3x3;00:17.124;F2 L2 B' R2 D2 B D2 B L2 D R U F' L' R' D' R2 B R2 D;2019-07-10 18:12;no;no;1562772449481;
3x3x3;00:18.823;B2 L' B2 D2 R U2 B2 L' B D2 F2 U B2 L2 D' L2 U' L' U;2019-07-10 18:12;no;no;1562772449481;
